ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north
50,False,2014-02-09 23:00:00,2014-02-10 23:00:00,300234011028750,65.59682,65.4823,-13.43425,-13.50168,-0.0136,-0.1099
48,False,2014-02-10 16:00:00,2014-02-11 16:00:00,300234011027150,42.80166,42.8372,-9.39633,-9.26125,0.1582,-0.0436
51,False,2014-02-10 23:00:00,2014-02-11 23:00:00,300234011028750,65.4823,65.31746,-13.50168,-13.56495,-0.0048,-0.3979
49,False,2014-02-11 16:00:00,2014-02-12 16:00:00,300234011027150,42.8372,43.11823,-9.26125,-9.23584,-0.0899,-0.0499
52,False,2014-02-11 23:00:00,2014-02-12 23:00:00,300234011028750,65.31746,65.19659,-13.56495,-13.74141,-0.0133,-0.239
53,False,2014-02-12 23:00:00,2014-02-13 23:00:00,300234011028750,65.19659,65.1975,-13.74141,-13.67488,-0.0996,-0.0401
349,False,2014-04-16 10:00:00,2014-04-17 10:00:00,300234060757570,52.51662,52.44573,-174.20468,-173.93607,0.1732,-0.1589
55,False,2014-04-18 09:00:00,2014-04-19 09:00:00,300234011041330,35.99211,36.0358,14.56929,14.43662,-0.1984,-0.2513
350,False,2014-04-19 05:00:00,2014-04-20 05:00:00,300234060757570,52.27872,52.13289,-173.59662,-173.27557,0.1976,-0.2401
468,False,2014-05-02 10:00:00,2014-05-03 10:00:00,300234061157620,33.57548,33.62338,35.24182,35.30109,0.0543,0.0557
56,False,2014-05-03 07:00:00,2014-05-04 07:00:00,300234011041330,35.78542,35.73261,14.28574,14.55949,0.161,0.1023
469,False,2014-05-03 10:00:00,2014-05-04 10:00:00,300234061157620,33.62338,33.64914,35.30109,35.33598,0.0676,0.0446
220,False,2014-05-03 12:00:00,2014-05-04 12:00:00,300234060210780,-4.75684,-4.0717,39.40003,39.79105,0.4554,0.6831
470,False,2014-05-04 10:00:00,2014-05-05 10:00:00,300234061157620,33.64914,33.72049,35.33598,35.38476,0.0051,0.0433
471,False,2014-05-05 10:00:00,2014-05-06 10:00:00,300234061157620,33.72049,33.77977,35.38476,35.4368,0.1486,0.1178
472,False,2014-05-06 10:00:00,2014-05-07 10:00:00,300234061157620,33.77977,33.70685,35.4368,35.41691,0.0413,0.0295
473,False,2014-05-07 10:00:00,2014-05-08 10:00:00,300234061157620,33.70685,33.59858,35.41691,35.36449,-0.0765,-0.1246
474,False,2014-05-08 10:00:00,2014-05-09 10:00:00,300234061157620,33.59858,33.53465,35.36449,35.32399,-0.0841,-0.179
475,False,2014-05-09 10:00:00,2014-05-10 10:00:00,300234061157620,33.53465,33.55391,35.32399,35.34106,-0.0124,-0.0406
221,False,2014-05-09 20:00:00,2014-05-10 20:00:00,300234060210780,-0.23762,0.15542,42.80581,43.06856,0.1352,0.4044
476,False,2014-05-10 10:00:00,2014-05-11 10:00:00,300234061157620,33.55391,33.59948,35.34106,35.35386,0.0615,0.1111
477,False,2014-05-11 10:00:00,2014-05-12 10:00:00,300234061157620,33.59948,33.60762,35.35386,35.34516,-0.0259,0.0325
222,True,2014-05-12 04:00:00,2014-05-13 04:00:00,300234060210780,0.23374,0.23938,43.12121,43.1228,0.0706,-0.0025
478,False,2014-05-12 10:00:00,2014-05-13 10:00:00,300234061157620,33.60762,33.67064,35.34516,35.38373,-0.0061,0.062
223,True,2014-05-13 04:00:00,2014-05-14 04:00:00,300234060210780,0.23938,0.11745,43.1228,43.01846,-0.2945,-0.3166
