ID,ID,ID.1,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north,wind10m_abs_mean,wind10m_u_mean,wind10m_v_mean,wind10m_abs_max,wind10m_u_max,wind10m_v_max,wind10m_abs_min,wind10m_u_min,wind10m_v_min,wind10m_abs_std,wind10m_u_std,wind10m_v_std,shore_rmsd,shortest_distance,shortest_distance_e,shortest_distance_n,score_shore_22deg_14km,score_bedrock_22deg_14km,score_wetland_22deg_14km,score_beach_22deg_14km,score_shore_45deg_10km,score_bedrock_45deg_10km,score_wetland_45deg_10km,score_beach_45deg_10km,score_shore_60deg_9km,score_bedrock_60deg_9km,score_wetland_60deg_9km,score_beach_60deg_9km,score_shore_90deg_7km,score_bedrock_90deg_7km,score_wetland_90deg_7km,score_beach_90deg_7km,score_shore_180deg_5km,score_bedrock_180deg_5km,score_wetland_180deg_5km,score_beach_180deg_5km,score_shore_270deg_4km,score_bedrock_270deg_4km,score_wetland_270deg_4km,score_beach_270deg_4km,score_shore_360deg_10km,score_bedrock_360deg_10km,score_wetland_360deg_10km,score_beach_360deg_10km,score_shore_360deg_8km,score_bedrock_360deg_8km,score_wetland_360deg_8km,score_beach_360deg_8km,score_shore_360deg_5km,score_bedrock_360deg_5km,score_wetland_360deg_5km,score_beach_360deg_5km,score_shore_360deg_2km,score_bedrock_360deg_2km,score_wetland_360deg_2km,score_beach_360deg_2km,inproduct_wind_nearest_shore,m2_tidal_elevation_mm,m4_tidal_elevation_mm,s2_tidal_elevation_mm,n2_tidal_elevation_mm,k1_tidal_elevation_mm,k2_tidal_elevation_mm,o1_tidal_elevation_mm,p1_tidal_elevation_mm,q1_tidal_elevation_mm
10,10,44,False,2012-07-27 11:00:00,2012-07-28 11:00:00,300234010409000,0.84623,1.54828,43.75675,44.55685,0.4475,0.4275,8.982807159423828,2.642374992370605,8.480381965637207,9.777835845947266,3.8222713470458975,9.521595001220703,8.067750930786133,0.3976047039031982,7.52506160736084,0.5183672308921814,1.2722673416137695,0.6647149920463562,466.16275,3067.5625,1771.8723,-2504.0784,11.255033,0.0,0.0,29.845242,9.031396,0.0,0.0,38.95893,8.297283,0.0,0.0,50.90872,7.0021224,0.0,0.0,40.40767,8.751117,0.0,0.0,40.102932,4.2195582,0.0,0.0,19.446684,36.172432,0.0,0.0,125.8347,24.507492,0.0,0.0,91.2672,9.548411,0.0,0.0,41.733612,0.0,0.0,0.0,0.0,-5.396333391354739,719,-4,184,144,211,52,120,63,26
11,11,33,False,2012-08-28 12:00:00,2012-08-29 12:00:00,300234010057130,-30.99829,-30.97185,115.16,115.21,0.0882,0.0257,3.0319859981536865,1.7485257387161257,2.0998787879943848,3.965609073638916,3.0425736904144287,3.825843572616577,1.4453070163726809,-1.2313501834869385,-0.3862984180450439,0.7053437232971191,1.089497685432434,1.0181421041488647,895.52216,15419.085,-10943.374,-10862.3545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7202910575082333,32,-4,24,-2,-167,9,-116,-53,-27
12,12,0,False,2012-11-13 17:00:00,2012-11-14 17:00:00,12469250,43.68025,43.68312,-66.255,-66.24095,0.1028,0.1358,2.341531753540039,-2.261197090148926,0.2368732690811157,2.85788893699646,-1.1724814176559448,1.0230616331100464,1.1810954809188845,-2.847473621368408,-0.9695941209793092,0.3649742305278778,0.3509849905967712,0.5689152479171753,5767.867,12289.4375,-12183.25,-1612.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210587674911204,706,6,-15,270,-136,-5,-100,-42,-14
13,13,183,False,2012-11-14 01:00:00,2012-11-15 01:00:00,300234011917940,62.55243,62.53833,-42.05207,-41.90155,0.0641,0.0142,10.769274711608888,9.240259170532228,5.04831600189209,12.844855308532717,11.228696823120115,9.078021049499512,7.728156566619873,6.997855186462402,0.4309172034263611,1.520753264427185,1.4771970510482788,2.289100408554077,14392.42,6845.568,5054.1274,4617.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.038002,0.0,0.0,0.0,0.6649115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.227057740594752,-760,-6,-133,-171,-107,-38,-7,-33,8
14,14,193,False,2013-02-04 13:00:00,2013-02-05 13:00:00,300234011934580,-16.92068,-17.06321,-142.98154,-143.05286,-0.225,-0.1913,7.666146278381348,-6.857919692993164,3.2957451343536377,8.740001678466797,-5.826961517333984,4.585356712341309,6.142239093780518,-8.144879341125488,1.64707612991333,0.7376068234443665,0.7312200665473938,0.9413716793060304,864.4306,12465.143,9250.538,8355.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.880291358578464,264,-1,77,54,-4,20,-5,-1,0
15,15,194,False,2013-02-06 12:00:00,2013-02-07 12:00:00,300234011938590,-18.67172,-18.85654,-138.8056,-138.91542,-0.2512,-0.1407,7.574925422668457,-4.745855808258057,5.795236587524414,8.92440128326416,-3.424613237380981,7.58193302154541,5.8597412109375,-5.831870079040527,3.4624080657958984,0.8953941464424133,0.6391041278839111,1.2902919054031372,516.7662,10625.197,304.23618,10620.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.656970199118199,304,-1,70,71,10,18,1,4,1
16,16,168,False,2013-07-06 15:00:00,2013-07-07 15:00:00,300234011915950,61.72789,61.88303,-7.07536,-6.92716,0.1321,0.0226,11.216289520263672,9.26156234741211,5.8546552658081055,12.619488716125488,11.302687644958496,10.85523796081543,9.38344383239746,5.483738899230957,2.1993627548217773,0.839616596698761,1.469380021095276,2.0730342864990234,13342.039,21558.873,-10238.165,18972.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7540960553525196,-589,16,-154,-129,-57,-45,48,-14,13
17,17,169,False,2013-07-07 15:00:00,2013-07-08 15:00:00,300234011915950,61.88303,61.80044,-6.92716,-6.45644,0.174,0.2184,7.815700054168701,5.55636739730835,4.478244781494141,10.899154663085938,9.457415580749512,10.063076972961426,5.221520900726318,2.610184669494629,0.5500869750976562,1.8420549631118768,1.7855292558670044,3.219055891036988,14514.229,516.6448,-512.51495,-65.19429,4.292067,0.0,0.0,0.0,5.9772015,0.0,0.0,0.0,5.9885926,0.0,0.0,0.0,6.6606026,0.0,0.0,0.0,9.68807,0.0,0.0,0.0,10.838461,0.0,0.0,0.0,37.887196,0.0,0.0,0.0,22.763678,0.0,0.0,0.0,14.183642,0.0,0.0,0.0,4.955247,0.0,0.0,0.0,-6.077052392939223,-630,20,-179,-132,-48,-52,38,-11,10
18,18,170,False,2013-08-03 20:00:00,2013-08-04 20:00:00,300234011915950,61.32548,61.42441,-6.84546,-6.81619,-0.0213,0.332,11.857439041137695,3.284267902374268,11.34385585784912,13.184118270874023,5.320780277252197,12.757835388183594,8.630339622497559,1.260591983795166,8.327032089233398,1.3630393743515017,1.0614969730377195,1.3639867305755615,4886.791,19336.023,-19074.484,-3169.5261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.09930930645538,-538,20,-159,-110,-50,-47,45,-13,13
19,19,171,False,2013-08-17 09:00:00,2013-08-18 09:00:00,300234011915950,62.00312,62.20968,-7.60099,-7.37128,-0.0532,0.1029,11.290928840637209,-0.5362560153007507,10.929757118225098,14.080174446105955,3.464096546173096,13.896448135375977,6.753108501434326,-4.765908241271973,6.685827732086182,1.8459148406982424,2.859769105911255,1.7225139141082764,2252.517,21852.988,-3814.6963,-21517.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.66833452537148,-601,5,-132,-142,-69,-39,50,-17,11
