ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north,wind10m_abs_mean,wind10m_u_mean,wind10m_v_mean,wind10m_abs_max,wind10m_u_max,wind10m_v_max,wind10m_abs_min,wind10m_u_min,wind10m_v_min,wind10m_abs_std,wind10m_u_std,wind10m_v_std
31,False,2011-07-24 21:00:00,2011-07-25 21:00:00,300034013615630,-29.78887,-29.81252,114.8601,114.88475,0.0008,-0.0031,6.2695794105529785,1.3622268438339233,-3.0855419635772705,7.832207679748535,6.090100288391113,6.656955718994141,3.1201443672180176,-4.391861915588379,-7.757655143737793,1.204485535621643,3.0225882530212402,4.499571800231934
32,False,2011-07-25 21:00:00,2011-07-26 21:00:00,300034013615630,-29.81252,-29.83885,114.88475,114.90874,0.0597,0.0084,2.1832284927368164,0.010861215181648731,1.2142285108566284,3.2776598930358887,2.507018566131592,2.9460959434509277,1.1348282098770142,-2.383504629135132,-1.3112702369689941,0.5497406721115112,1.4314888715744019,1.243009328842163
30,False,2011-08-13 18:00:00,2011-08-14 18:00:00,300034013615150,-29.99409,-30.09363,114.84243,114.92193,0.1928,-0.3175,6.772739887237549,6.26442813873291,0.26021069288253784,11.082084655761719,10.973094940185547,4.349542617797852,2.5791244506835938,2.5146913528442383,-4.135781764984131,2.722257137298584,2.9415881633758545,2.3058576583862305
37,False,2011-08-28 13:00:00,2011-08-29 13:00:00,300234010308830,-14.63742,-14.65043,40.94602,40.89927,-0.4201,-0.3419,8.370794296264648,1.4798648357391357,8.05069637298584,9.276829719543457,4.296923637390137,9.209853172302246,7.366577625274658,-0.9236762523651123,6.551239013671875,0.5847520232200623,1.6587862968444824,0.8104623556137085
38,False,2011-08-29 13:00:00,2011-08-30 13:00:00,300234010308830,-14.65043,-14.69577,40.89927,40.84431,-0.0441,-0.2087,9.250283241271973,2.4171500205993652,8.801982879638672,9.944936752319336,5.1398844718933105,9.701140403747559,8.800408363342285,0.2856600284576416,7.966470718383789,0.3313699960708618,1.435186743736267,0.5479728579521179
39,False,2012-07-22 11:00:00,2012-07-23 11:00:00,300234010409000,-1.16852,-0.40497,42.0306,42.60974,0.7758,1.0301,8.584166526794434,0.7520571947097778,8.498917579650879,9.7169828414917,2.8019399642944336,9.664632797241211,7.316431522369385,-0.9075180292129517,7.2800984382629395,0.5888123512268066,0.9553400278091431,0.5698608756065369
40,False,2012-07-23 11:00:00,2012-07-24 11:00:00,300234010409000,-0.40497,-0.13082,42.60974,42.80497,0.5431,0.6885,6.951295375823975,0.7572612762451172,6.87637186050415,8.694988250732422,1.4865727424621582,8.588850975036621,5.879584789276123,-0.49057531356811523,5.734091758728027,0.8604611158370972,0.6672988533973694,0.8704403638839722
41,False,2012-07-24 11:00:00,2012-07-25 11:00:00,300234010409000,-0.13082,0.11532,42.80497,43.0273,0.2348,0.2612,9.057380676269531,0.7246434092521667,9.018512725830078,9.625595092773438,1.3933496475219727,9.622663497924805,8.447437286376953,-0.23754143714904785,8.409839630126953,0.33791887760162354,0.4218395948410034,0.33721235394477844
42,False,2012-07-25 11:00:00,2012-07-26 11:00:00,300234010409000,0.11532,0.3841,43.0273,43.29858,0.326,0.3658,9.088752746582031,2.2022390365600586,8.8065767288208,9.617241859436035,2.8695521354675293,9.497611999511719,8.724210739135742,1.3667144775390625,8.380718231201172,0.26994261145591736,0.3964712917804718,0.3397870659828186
43,False,2012-07-26 11:00:00,2012-07-27 11:00:00,300234010409000,0.3841,0.84623,43.29858,43.75675,0.3724,0.3631,6.932525157928467,2.1161048412323,6.570220470428467,8.123398780822754,2.8173060417175293,7.954174518585205,5.396632671356201,1.5511116981506348,4.801348686218262,0.7874621152877808,0.4025282561779022,0.933956503868103
44,False,2012-07-27 11:00:00,2012-07-28 11:00:00,300234010409000,0.84623,1.54828,43.75675,44.55685,0.4475,0.4275,8.982807159423828,2.6423749923706055,8.480381965637207,9.777835845947266,3.8222713470458984,9.521595001220703,8.067750930786133,0.39760470390319824,7.52506160736084,0.5183672308921814,1.2722673416137695,0.6647149920463562
33,False,2012-08-28 12:00:00,2012-08-29 12:00:00,300234010057130,-30.99829,-30.97185,115.16,115.21,0.0882,0.0257,3.0319859981536865,1.7485257387161255,2.0998787879943848,3.965609073638916,3.0425736904144287,3.825843572616577,1.4453070163726807,-1.2313501834869385,-0.38629841804504395,0.7053437232971191,1.089497685432434,1.0181421041488647
0,False,2012-11-13 17:00:00,2012-11-14 17:00:00,12469250,43.68025,43.68312,-66.255,-66.24095,0.1028,0.1358,2.341531753540039,-2.261197090148926,0.23687326908111572,2.85788893699646,-1.1724814176559448,1.0230616331100464,1.1810954809188843,-2.847473621368408,-0.9695941209793091,0.3649742305278778,0.35098499059677124,0.5689152479171753
183,False,2012-11-14 01:00:00,2012-11-15 01:00:00,300234011917940,62.55243,62.53833,-42.05207,-41.90155,0.0641,0.0142,10.769274711608887,9.240259170532227,5.04831600189209,12.844855308532715,11.228696823120117,9.078021049499512,7.728156566619873,6.997855186462402,0.4309172034263611,1.520753264427185,1.4771970510482788,2.289100408554077
193,False,2013-02-04 13:00:00,2013-02-05 13:00:00,300234011934580,-16.92068,-17.06321,-142.98154,-143.05286,-0.225,-0.1913,7.666146278381348,-6.857919692993164,3.2957451343536377,8.740001678466797,-5.826961517333984,4.585356712341309,6.142239093780518,-8.144879341125488,1.64707612991333,0.7376068234443665,0.7312200665473938,0.9413716793060303
